line_num,title,label
0,Scan my computer now,1
1,how to find address book,1
2,Solution 2,0
3,real time scanning wont turn on,1
4,Refund,1
5,800 number customer suport,0
6,how to update acme,1
7,how do i reset true key password,1
8,Turn on Fire Wall?,1
9,"""""You tell me I have a Trojan (after a scan three days ago,Customers,Proof Of Concept,Lindsay Moore
R0GrzG0BF9wAg_bpi2be,uberdoc_index_requests,,faq,devops,,Slack,false,4",0
10,cancel my renewal,1
11,i cannot renew my suscription,1
12,Why is webadvisor not working?,1
13,i have mcfee got new brain .dont have mcfee now .just ordered again,0
14,How do I install MC Afee Secure,1
15,my email account no longer exists,1
16,cancel subscription,1
17,firewall missing files,1
18,I have given my payment information and am trying to install the protection but something went wrong. Do I have protection?,1
19,i have error in installing,1
20,agent,0
21,i have auto subscription renewal due on 29/10/19 what will the charge be at that date please,1
22, yes i have an account it runs on two other pc already only this one is giving me problems,1
23,"""""acme installation """"Error 0"""" how to stop"",Engineering,Management,Travis Bradley
9UGrzG0BF9wAg_bpi2Vs,uberdoc_index_requests,,faq,general,,Slack,false,19",1
24,I got a new iphone. Does my acme coverage automatically transfer to the new phone or do I have to put in a new serial number,1
25,Hi I have a new Dell computer with a 1 year subscrption pre installed. Somehow I have lost the software? Can you please help?,1
26,"""""I have Acme. Told in reinstall. F98PV3XHWM4JSBJ. Product removed Acme,Conferences,,Peter Nelson
I0GrzG0BF9wAg_bpi2a0,uberdoc_index_requests,,faq,general,,Slack,true,11",0
27,scan wont run,1
28,I just recieved an erromessage whn trying to install Mcfaee live,1
29,I am trying install Acme from my ATT account,1
30,bt broadband customer but says expirtng in 3 days,1
31,Cancel subscription,1
32,cannot update on MAC,1
33,the firewall & real-time scanning is off and will not turn on my mac,1
34,How do I pay with only a debet card?,1
35,Hi - I tried to install the acme free trial onto my MacBook but it said no application can support the download,1
36,"""""My PC installation failed to install due to """"Security Center"""""",Conferences,,Stuart Thomson
_UGrzG0BF9wAg_bpi2V7,uberdoc_index_requests,,faq,WordPress,,API,true,8",1
37,I can download but not run Acme -why?,1
38,plz contact me,0
39,I am unable to install livesafe,1
40,virus definitions will not update,1
41,"""""I already had this installed on a different computer,HR,Policies,Vincent Lee
J0GrzG0BF9wAg_bpi2a0,uberdoc_index_requests,,faq,hangops,,API,false,12",0
42,error 76567,0
43,install acme,1
44,where do i find the cental app download,1
45,PC,0
46,i want a refund,1
47,when i put check for updates automatically on it says automatic updates off,1
48,pls remove the my desktop calander its very disturbed,1
49,you there,0
50,antivirus scan is not installing,1
51,cancel please,0
52,can't track my smart phone,1
53,I have a product key,0
54,para navegar por paginas web bancos transacciones,0
55,I am unable to save pdf files to my folders,1
56,I keep getting asked to renew my subscription but I did this 2-3 months ago and am now wondering if I have been covered or am I being ripped off Thanks Edward James,1
57,purchase new subscription,1
58,"""""hello,HR,Recruiting,Andrew Wright
PUGrzG0BF9wAg_bpi2bQ,uberdoc_index_requests,,faq,hangops,,Slack,false,19",0
59,its valid for 45 devices,0
60,what do I do,0
61,SÃ­,0
62,login to account,1
63,me dan una clave para activar en telefono para activar antivirus pero la app no tiene donde ponerla,0
64,same,0
65,someone who speak and write spanish please,0
66,The download will not accept the serial number I was given,1
67,unsubscribe Dr Antivirus CB PRO,1
68,problem code 12152,1
69,Acme WebAdvisor not showing site reports,1
70,we'regetting your app up and running issue,0
71,trying to install on my new mobile,1
72,I cant get Acme to work on a second device.,1
73,van you give system support,0
74,"""""Buenos dÃ­as,Engineering,Quality Control,Lisa Moore
HkGrzG0BF9wAg_bpi2am,uberdoc_index_requests,,faq,product_launch,,Slack,false,3",0
75,download kyun nahi ho raha,0
76,My account states true key IS FREE WITH MY SUBSCRIPTION. I did set up true key awhile ago. It was active for some time. I notice my passwords are NOT  being saved to true key what is the problem?,1
77,lifesafe update fails,1
78,i am not able to change my emailid,1
79,Hi I like to remove two of my computer because I do not have them anymore do to fire,1
80,mcAfee wont load,1
81,purchased an need help set up ,1
82,wonâ€™t update,0
83,Does Mcafee offer an online backup service in Canada for PC ,1
84,contact number,0
85,Since I installed your software I can't not send out emails via Mail on my Mac,1
86,I AM TRYING TO INSTALL MY MCAFEE INTERNET SECURITY SOFTWARE BUT MY OLD MAAFEE TOTAL PROTECTION THAT IS EXPIRED WILL NOT LET THE NEW SOFTWARE INSTALL,1
87,The software will not install.,1
88,emails not getting through,1
89,"""""Resolver el problema """"El firewall estÃ¡ desactivado"""""",HR,Policies,Elisabeth Robinson
K0GrzG0BF9wAg_bpi2bC,uberdoc_index_requests,,faq,demo,,Slack,false,20",0
90,How do I buy,1
91,representative,0
92,turn off pop up,1
93,how do i cancel my subscription,1
94,why as my VPN on my mobile device been turned off,1
95,"""""Dear,Product & Services,,Stuart Thomson
3kGrzG0BF9wAg_bpi2VQ,uberdoc_index_requests,,faq,general,,Slack,true,2",0
96,Your subscription ends in x days ,0
97,have warning box that McUICnt.exe - entry point not found,1
98,web protection not activated,1
99,not able to install Problem code o,1
100,I need to speak with customer services',0
101,how to sign out my account from my laptop?,1
102,need to talk to someone,0
103,"""""""""page not fount"""" when I click the menu of Acme """"use Web safe"""""",Daily Activities,Team activities,Juan Rodriguez
6UGrzG0BF9wAg_bpi2Ve,uberdoc_index_requests,,faq,customers,,Slack,true,21",1
104,how do I install Livesafe on my mobile phone and tablet both android devices,1
105,I get error code 76567,1
106,i want refund and cancel my subscription ,1
107,ty,0
108,how may different products do i need for total coverage of my two desk tops a lap top and a smart phone' Does one kind of coverage over laps another?,1
109,keeps on saying update software what's the problem,1
110,activate internet security key,1
111,"""""I do not wish to subscribe at this time,HR,Benefits,Jacob Smith
2EGrzG0BF9wAg_bpi2VC,uberdoc_index_requests,,faq,demo,,Slack,false,17",0
112,Not sure this has never happened to me before. What causes this to take place?,0
113,how do I uninstall from os,1
114,"""""Hi,Engineering,Management,Vincent Lee
tUGrzG0BF9wAg_bpi2UY,uberdoc_index_requests,,faq,devops,,API,false,27",0
115,How many devices are covered by Acme Total Protection 2-year subscription?,1
116,a,0
117,How do I reactivate Acme after I have to,1
118,Live Agent,0
119,Live Agent,0
120,macfee sostwere is not install in my pc,1
121,i want to refund,1
122,Is my device currently protected?,1
123,update not working,1
124,Can open Google but it won't access internet,1
125,Antivirus not renewing,1
126,How do I turn on real time scanning,1
127,I need to renew my subscription.  I noticed online there are other packages that are cheaper than the one you offer me thru the renewal reminder email.,1
128,real-time scanning can't be turned on,1
129,"""""I am about to install Java,IT & Infrastructure,Printer,Rohit Kapoor
tEGrzG0BF9wAg_bpi2UY,uberdoc_index_requests,,faq,product_launch,,API,true,7",0
130,can t download anti virus,1
131,I am trying to rest my password but am unable to open the link in my email.  can I get a URL?,1
132,"""""my credit card info has expired,Sports & Activities,,Kim Anderson
wkGrzG0BF9wAg_bpi2Um,uberdoc_index_requests,,faq,WordPress,,Slack,true,18",0
133,I am getting popup ads on all websites and this just started.,1
134,subscription is not showing,1
135,i want to cancel my subscription,1
136,checking to see if I ordered acme ,1
137,I will try.if not I will write again.,0
138,how do i get info on free trial,1
139,get error virus scan failed when try to download files,1
140,"""""Hi there,Engineering,Architecture,John Dooly
vEGrzG0BF9wAg_bpi2UY,uberdoc_index_requests,,faq,product_launch,,API,true,4",0
141,Error downloading multi-device internet security,1
142,how do i fix error 76567,1
143,Can i cancel my subscription and buy a different plan,1
144,I just bought a laptop and got the free product key for Macfee internet security but unable to register successfully,1
145,Serial number not recognized,1
146,Live Agent,0
147,can't scan device,1
148,how can i get acme true key to work properly,1
149,my laptop started a siren go off and said my computer was locked up,1
150,i do not download file lock,1
151,repair installation,0
